Salary,Age,Department,OverTime,StockOptionLevel,YearsAtCompany,ManagerRating
259284,42,Technology,No,1,10,4.0
259284,42,Technology,No,1,10,4.0
259284,42,Technology,No,1,10,4.0
104426,40,Sales,No,1,10,4.0
104426,40,Sales,No,1,10,2.0
104426,40,Sales,No,1,10,2.0
104426,40,Sales,No,1,10,3.0
104426,40,Sales,No,1,10,2.0
104426,40,Sales,No,1,10,4.0
104426,40,Sales,No,1,10,5.0
104426,40,Sales,No,1,10,4.0
104426,40,Sales,No,1,10,4.0
147098,38,Sales,No,1,10,5.0
147098,38,Sales,No,1,10,2.0
147098,38,Sales,No,1,10,4.0
147098,38,Sales,No,1,10,4.0
147098,38,Sales,No,1,10,3.0
147098,38,Sales,No,1,10,3.0
147098,38,Sales,No,1,10,4.0
147098,38,Sales,No,1,10,5.0
147098,38,Sales,No,1,10,3.0
69747,31,Technology,No,0,6,2.0
69747,31,Technology,No,0,6,2.0
69747,31,Technology,No,0,6,3.0
69747,31,Technology,No,0,6,2.0
69747,31,Technology,No,0,6,2.0
69747,31,Technology,No,0,6,5.0
69747,31,Technology,No,0,6,2.0
69747,31,Technology,No,0,6,4.0
69747,31,Technology,No,0,6,3.0
69747,31,Technology,No,0,6,4.0
102022,32,Technology,No,0,10,3.0
102022,32,Technology,No,0,10,5.0
102022,32,Technology,No,0,10,2.0
102022,32,Technology,No,0,10,4.0
102022,32,Technology,No,0,10,2.0
102022,32,Technology,No,0,10,5.0
102022,32,Technology,No,0,10,4.0
102022,32,Technology,No,0,10,5.0
102022,32,Technology,No,0,10,3.0
272175,35,Technology,No,0,10,5.0
272175,35,Technology,No,0,10,3.0
272175,35,Technology,No,0,10,4.0
272175,35,Technology,No,0,10,5.0
272175,35,Technology,No,0,10,4.0
272175,35,Technology,No,0,10,3.0
272175,35,Technology,No,0,10,4.0
272175,35,Technology,No,0,10,2.0
340229,38,Sales,Yes,0,10,4.0
340229,38,Sales,Yes,0,10,3.0
340229,38,Sales,Yes,0,10,4.0
340229,38,Sales,Yes,0,10,4.0
340229,38,Sales,Yes,0,10,3.0
340229,38,Sales,Yes,0,10,4.0
340229,38,Sales,Yes,0,10,3.0
340229,38,Sales,Yes,0,10,2.0
48395,37,Technology,No,1,10,4.0
48395,37,Technology,No,1,10,4.0
48395,37,Technology,No,1,10,3.0
48395,37,Technology,No,1,10,5.0
48395,37,Technology,No,1,10,4.0
48395,37,Technology,No,1,10,4.0
48395,37,Technology,No,1,10,2.0
48395,37,Technology,No,1,10,3.0
97126,33,Technology,No,0,10,4.0
97126,33,Technology,No,0,10,3.0
97126,33,Technology,No,0,10,5.0
97126,33,Technology,No,0,10,4.0
97126,33,Technology,No,0,10,4.0
97126,33,Technology,No,0,10,3.0
97126,33,Technology,No,0,10,4.0
97126,33,Technology,No,0,10,2.0
316208,42,Technology,No,1,10,4.0
316208,42,Technology,No,1,10,3.0
316208,42,Technology,No,1,10,4.0
316208,42,Technology,No,1,10,4.0
316208,42,Technology,No,1,10,3.0
316208,42,Technology,No,1,10,3.0
316208,42,Technology,No,1,10,4.0
316208,42,Technology,No,1,10,4.0
128885,43,Sales,Yes,0,10,3.0
128885,43,Sales,Yes,0,10,3.0
128885,43,Sales,Yes,0,10,3.0
128885,43,Sales,Yes,0,10,3.0
128885,43,Sales,Yes,0,10,2.0
128885,43,Sales,Yes,0,10,5.0
128885,43,Sales,Yes,0,10,4.0
128885,43,Sales,Yes,0,10,4.0
108315,43,Sales,No,2,10,4.0
108315,43,Sales,No,2,10,4.0
108315,43,Sales,No,2,10,3.0
108315,43,Sales,No,2,10,3.0
108315,43,Sales,No,2,10,3.0
108315,43,Sales,No,2,10,4.0
108315,43,Sales,No,2,10,4.0
108315,43,Sales,No,2,10,4.0
136521,45,Technology,No,1,10,3.0
136521,45,Technology,No,1,10,4.0
136521,45,Technology,No,1,10,3.0
136521,45,Technology,No,1,10,3.0
136521,45,Technology,No,1,10,5.0
136521,45,Technology,No,1,10,5.0
136521,45,Technology,No,1,10,4.0
136521,45,Technology,No,1,10,4.0
151141,38,Sales,No,0,10,3.0
151141,38,Sales,No,0,10,3.0
151141,38,Sales,No,0,10,3.0
151141,38,Sales,No,0,10,3.0
151141,38,Sales,No,0,10,2.0
151141,38,Sales,No,0,10,5.0
151141,38,Sales,No,0,10,4.0
151141,38,Sales,No,0,10,4.0
107863,39,Sales,Yes,1,8,4.0
107863,39,Sales,Yes,1,8,3.0
107863,39,Sales,Yes,1,8,2.0
107863,39,Sales,Yes,1,8,3.0
107863,39,Sales,Yes,1,8,4.0
107863,39,Sales,Yes,1,8,5.0
107863,39,Sales,Yes,1,8,2.0
107863,39,Sales,Yes,1,8,2.0
107863,39,Sales,Yes,1,8,4.0
107863,39,Sales,Yes,1,8,5.0
53616,33,Human Resources,Yes,1,10,3.0
53616,33,Human Resources,Yes,1,10,4.0
53616,33,Human Resources,Yes,1,10,3.0
53616,33,Human Resources,Yes,1,10,4.0
53616,33,Human Resources,Yes,1,10,4.0
53616,33,Human Resources,Yes,1,10,4.0
53616,33,Human Resources,Yes,1,10,5.0
53616,33,Human Resources,Yes,1,10,5.0
61298,36,Technology,Yes,1,10,3.0
61298,36,Technology,Yes,1,10,5.0
61298,36,Technology,Yes,1,10,5.0
61298,36,Technology,Yes,1,10,5.0
61298,36,Technology,Yes,1,10,3.0
61298,36,Technology,Yes,1,10,5.0
61298,36,Technology,Yes,1,10,2.0
61298,36,Technology,Yes,1,10,4.0
54132,45,Human Resources,Yes,1,10,4.0
54132,45,Human Resources,Yes,1,10,2.0
54132,45,Human Resources,Yes,1,10,4.0
54132,45,Human Resources,Yes,1,10,3.0
54132,45,Human Resources,Yes,1,10,3.0
54132,45,Human Resources,Yes,1,10,5.0
54132,45,Human Resources,Yes,1,10,2.0
54132,45,Human Resources,Yes,1,10,3.0
328415,30,Technology,No,0,10,2.0
328415,30,Technology,No,0,10,4.0
328415,30,Technology,No,0,10,4.0
328415,30,Technology,No,0,10,4.0
328415,30,Technology,No,0,10,3.0
328415,30,Technology,No,0,10,4.0
328415,30,Technology,No,0,10,5.0
328415,30,Technology,No,0,10,5.0
145337,48,Technology,No,0,10,3.0
145337,48,Technology,No,0,10,4.0
145337,48,Technology,No,0,10,5.0
145337,48,Technology,No,0,10,2.0
145337,48,Technology,No,0,10,4.0
145337,48,Technology,No,0,10,4.0
145337,48,Technology,No,0,10,3.0
145337,48,Technology,No,0,10,3.0
71201,33,Sales,No,2,10,5.0
71201,33,Sales,No,2,10,2.0
71201,33,Sales,No,2,10,3.0
71201,33,Sales,No,2,10,4.0
71201,33,Sales,No,2,10,3.0
71201,33,Sales,No,2,10,3.0
71201,33,Sales,No,2,10,4.0
71201,33,Sales,No,2,10,2.0
55682,31,Human Resources,No,1,10,2.0
55682,31,Human Resources,No,1,10,3.0
55682,31,Human Resources,No,1,10,2.0
55682,31,Human Resources,No,1,10,5.0
55682,31,Human Resources,No,1,10,5.0
55682,31,Human Resources,No,1,10,4.0
55682,31,Human Resources,No,1,10,4.0
55682,31,Human Resources,No,1,10,4.0
63455,40,Sales,Yes,1,10,3.0
63455,40,Sales,Yes,1,10,2.0
63455,40,Sales,Yes,1,10,5.0
63455,40,Sales,Yes,1,10,3.0
63455,40,Sales,Yes,1,10,3.0
63455,40,Sales,Yes,1,10,2.0
63455,40,Sales,Yes,1,10,4.0
63455,40,Sales,Yes,1,10,3.0
65626,47,Sales,No,0,10,2.0
65626,47,Sales,No,0,10,5.0
65626,47,Sales,No,0,10,3.0
65626,47,Sales,No,0,10,5.0
65626,47,Sales,No,0,10,5.0
65626,47,Sales,No,0,10,4.0
65626,47,Sales,No,0,10,2.0
65626,47,Sales,No,0,10,4.0
68508,30,Technology,Yes,0,5,5.0
68508,30,Technology,Yes,0,5,3.0
68508,30,Technology,Yes,0,5,2.0
68508,30,Technology,Yes,0,5,3.0
68508,30,Technology,Yes,0,5,2.0
68508,30,Technology,Yes,0,5,4.0
68508,30,Technology,Yes,0,5,4.0
68508,30,Technology,Yes,0,5,4.0
68508,30,Technology,Yes,0,5,2.0
68508,30,Technology,Yes,0,5,4.0
75821,32,Technology,No,1,10,4.0
75821,32,Technology,No,1,10,4.0
75821,32,Technology,No,1,10,3.0
75821,32,Technology,No,1,10,4.0
75821,32,Technology,No,1,10,4.0
75821,32,Technology,No,1,10,4.0
75821,32,Technology,No,1,10,4.0
75821,32,Technology,No,1,10,5.0
285620,44,Sales,No,1,10,4.0
285620,44,Sales,No,1,10,4.0
285620,44,Sales,No,1,10,2.0
285620,44,Sales,No,1,10,5.0
285620,44,Sales,No,1,10,3.0
285620,44,Sales,No,1,10,5.0
285620,44,Sales,No,1,10,4.0
285620,44,Sales,No,1,10,2.0
65860,48,Technology,No,0,10,4.0
65860,48,Technology,No,0,10,5.0
65860,48,Technology,No,0,10,4.0
65860,48,Technology,No,0,10,3.0
65860,48,Technology,No,0,10,4.0
65860,48,Technology,No,0,10,3.0
65860,48,Technology,No,0,10,2.0
65860,48,Technology,No,0,10,4.0
40786,47,Technology,No,0,10,3.0
40786,47,Technology,No,0,10,3.0
40786,47,Technology,No,0,10,4.0
40786,47,Technology,No,0,10,4.0
40786,47,Technology,No,0,10,3.0
40786,47,Technology,No,0,10,3.0
40786,47,Technology,No,0,10,3.0
40786,47,Technology,No,0,10,4.0
59697,31,Technology,Yes,0,7,3.0
59697,31,Technology,Yes,0,7,4.0
59697,31,Technology,Yes,0,7,3.0
59697,31,Technology,Yes,0,7,2.0
59697,31,Technology,Yes,0,7,4.0
59697,31,Technology,Yes,0,7,5.0
59697,31,Technology,Yes,0,7,4.0
59697,31,Technology,Yes,0,7,5.0
59697,31,Technology,Yes,0,7,2.0
59697,31,Technology,Yes,0,7,3.0
316725,32,Technology,No,1,10,2.0
316725,32,Technology,No,1,10,2.0
316725,32,Technology,No,1,10,4.0
316725,32,Technology,No,1,10,4.0
316725,32,Technology,No,1,10,5.0
316725,32,Technology,No,1,10,5.0
316725,32,Technology,No,1,10,2.0
316725,32,Technology,No,1,10,3.0
105984,28,Technology,Yes,2,10,4.0
105984,28,Technology,Yes,2,10,3.0
105984,28,Technology,Yes,2,10,4.0
105984,28,Technology,Yes,2,10,3.0
105984,28,Technology,Yes,2,10,4.0
105984,28,Technology,Yes,2,10,5.0
105984,28,Technology,Yes,2,10,3.0
105984,28,Technology,Yes,2,10,4.0
393294,32,Technology,No,1,10,4.0
393294,32,Technology,No,1,10,2.0
393294,32,Technology,No,1,10,3.0
393294,32,Technology,No,1,10,4.0
393294,32,Technology,No,1,10,4.0
393294,32,Technology,No,1,10,4.0
393294,32,Technology,No,1,10,2.0
393294,32,Technology,No,1,10,5.0
107008,41,Technology,No,0,10,3.0
107008,41,Technology,No,0,10,4.0
107008,41,Technology,No,0,10,4.0
107008,41,Technology,No,0,10,3.0
107008,41,Technology,No,0,10,3.0
107008,41,Technology,No,0,10,5.0
107008,41,Technology,No,0,10,4.0
107008,41,Technology,No,0,10,3.0
127432,34,Technology,Yes,0,10,2.0
127432,34,Technology,Yes,0,10,4.0
127432,34,Technology,Yes,0,10,3.0
127432,34,Technology,Yes,0,10,2.0
127432,34,Technology,Yes,0,10,2.0
127432,34,Technology,Yes,0,10,5.0
127432,34,Technology,Yes,0,10,2.0
127432,34,Technology,Yes,0,10,4.0
76693,45,Sales,No,1,10,2.0
76693,45,Sales,No,1,10,3.0
76693,45,Sales,No,1,10,2.0
76693,45,Sales,No,1,10,3.0
76693,45,Sales,No,1,10,3.0
76693,45,Sales,No,1,10,2.0
76693,45,Sales,No,1,10,4.0
76693,45,Sales,No,1,10,5.0
90017,39,Technology,Yes,0,10,5.0
90017,39,Technology,Yes,0,10,4.0
90017,39,Technology,Yes,0,10,3.0
90017,39,Technology,Yes,0,10,4.0
90017,39,Technology,Yes,0,10,5.0
90017,39,Technology,Yes,0,10,3.0
90017,39,Technology,Yes,0,10,2.0
90017,39,Technology,Yes,0,10,3.0
426142,44,Sales,No,0,10,4.0
426142,44,Sales,No,0,10,3.0
426142,44,Sales,No,0,10,4.0
426142,44,Sales,No,0,10,2.0
426142,44,Sales,No,0,10,3.0
426142,44,Sales,No,0,10,3.0
426142,44,Sales,No,0,10,2.0
426142,44,Sales,No,0,10,2.0
46514,47,Technology,No,2,10,4.0
46514,47,Technology,No,2,10,4.0
46514,47,Technology,No,2,10,4.0
46514,47,Technology,No,2,10,4.0
46514,47,Technology,No,2,10,3.0
46514,47,Technology,No,2,10,4.0
46514,47,Technology,No,2,10,5.0
46514,47,Technology,No,2,10,4.0
125587,48,Sales,No,0,10,4.0
125587,48,Sales,No,0,10,3.0
125587,48,Sales,No,0,10,2.0
125587,48,Sales,No,0,10,3.0
125587,48,Sales,No,0,10,3.0
125587,48,Sales,No,0,10,3.0
125587,48,Sales,No,0,10,4.0
125587,48,Sales,No,0,10,3.0
98608,47,Human Resources,No,0,10,2.0
98608,47,Human Resources,No,0,10,3.0
98608,47,Human Resources,No,0,10,4.0
98608,47,Human Resources,No,0,10,3.0
98608,47,Human Resources,No,0,10,4.0
98608,47,Human Resources,No,0,10,4.0
98608,47,Human Resources,No,0,10,2.0
98608,47,Human Resources,No,0,10,4.0
72794,48,Technology,No,1,10,5.0
72794,48,Technology,No,1,10,3.0
72794,48,Technology,No,1,10,3.0
72794,48,Technology,No,1,10,4.0
72794,48,Technology,No,1,10,3.0
72794,48,Technology,No,1,10,3.0
72794,48,Technology,No,1,10,3.0
72794,48,Technology,No,1,10,3.0
69119,40,Technology,No,0,10,4.0
69119,40,Technology,No,0,10,4.0
69119,40,Technology,No,0,10,4.0
69119,40,Technology,No,0,10,3.0
69119,40,Technology,No,0,10,4.0
69119,40,Technology,No,0,10,3.0
69119,40,Technology,No,0,10,3.0
69119,40,Technology,No,0,10,3.0
48835,32,Technology,Yes,1,8,4.0
48835,32,Technology,Yes,1,8,3.0
48835,32,Technology,Yes,1,8,4.0
48835,32,Technology,Yes,1,8,5.0
48835,32,Technology,Yes,1,8,4.0
48835,32,Technology,Yes,1,8,4.0
48835,32,Technology,Yes,1,8,4.0
48835,32,Technology,Yes,1,8,4.0
48835,32,Technology,Yes,1,8,3.0
48835,32,Technology,Yes,1,8,2.0
218406,28,Technology,No,1,10,4.0
218406,28,Technology,No,1,10,5.0
218406,28,Technology,No,1,10,4.0
218406,28,Technology,No,1,10,4.0
218406,28,Technology,No,1,10,2.0
218406,28,Technology,No,1,10,5.0
218406,28,Technology,No,1,10,4.0
218406,28,Technology,No,1,10,3.0
42333,40,Technology,No,1,10,4.0
42333,40,Technology,No,1,10,2.0
42333,40,Technology,No,1,10,5.0
42333,40,Technology,No,1,10,4.0
42333,40,Technology,No,1,10,2.0
42333,40,Technology,No,1,10,4.0
42333,40,Technology,No,1,10,4.0
42333,40,Technology,No,1,10,3.0
300299,39,Sales,Yes,1,10,5.0
300299,39,Sales,Yes,1,10,3.0
300299,39,Sales,Yes,1,10,5.0
300299,39,Sales,Yes,1,10,2.0
300299,39,Sales,Yes,1,10,4.0
300299,39,Sales,Yes,1,10,3.0
300299,39,Sales,Yes,1,10,4.0
300299,39,Sales,Yes,1,10,4.0
173246,34,Sales,Yes,0,9,3.0
173246,34,Sales,Yes,0,9,3.0
173246,34,Sales,Yes,0,9,4.0
173246,34,Sales,Yes,0,9,4.0
173246,34,Sales,Yes,0,9,3.0
173246,34,Sales,Yes,0,9,4.0
173246,34,Sales,Yes,0,9,4.0
173246,34,Sales,Yes,0,9,4.0
173246,34,Sales,Yes,0,9,2.0
173246,34,Sales,Yes,0,9,2.0
67264,35,Human Resources,No,0,10,2.0
67264,35,Human Resources,No,0,10,5.0
67264,35,Human Resources,No,0,10,3.0
67264,35,Human Resources,No,0,10,3.0
67264,35,Human Resources,No,0,10,4.0
67264,35,Human Resources,No,0,10,4.0
67264,35,Human Resources,No,0,10,3.0
67264,35,Human Resources,No,0,10,5.0
93591,29,Technology,No,1,10,3.0
93591,29,Technology,No,1,10,2.0
93591,29,Technology,No,1,10,3.0
93591,29,Technology,No,1,10,4.0
93591,29,Technology,No,1,10,3.0
93591,29,Technology,No,1,10,3.0
93591,29,Technology,No,1,10,4.0
93591,29,Technology,No,1,10,5.0
82099,37,Technology,No,2,10,4.0
82099,37,Technology,No,2,10,3.0
82099,37,Technology,No,2,10,3.0
82099,37,Technology,No,2,10,3.0
82099,37,Technology,No,2,10,2.0
82099,37,Technology,No,2,10,3.0
82099,37,Technology,No,2,10,4.0
82099,37,Technology,No,2,10,5.0
83590,38,Technology,No,1,10,3.0
83590,38,Technology,No,1,10,3.0
83590,38,Technology,No,1,10,3.0
83590,38,Technology,No,1,10,2.0
83590,38,Technology,No,1,10,3.0
83590,38,Technology,No,1,10,2.0
83590,38,Technology,No,1,10,4.0
83590,38,Technology,No,1,10,3.0
122811,29,Sales,Yes,0,2,3.0
122811,29,Sales,Yes,0,2,3.0
122811,29,Sales,Yes,0,2,4.0
122811,29,Sales,Yes,0,2,3.0
122811,29,Sales,Yes,0,2,5.0
122811,29,Sales,Yes,0,2,3.0
122811,29,Sales,Yes,0,2,3.0
122811,29,Sales,Yes,0,2,4.0
122811,29,Sales,Yes,0,2,5.0
122811,29,Sales,Yes,0,2,4.0
58551,40,Technology,No,0,10,4.0
58551,40,Technology,No,0,10,2.0
58551,40,Technology,No,0,10,2.0
58551,40,Technology,No,0,10,4.0
58551,40,Technology,No,0,10,4.0
58551,40,Technology,No,0,10,3.0
58551,40,Technology,No,0,10,5.0
58551,40,Technology,No,0,10,2.0
53325,44,Technology,Yes,1,10,4.0
53325,44,Technology,Yes,1,10,4.0
53325,44,Technology,Yes,1,10,5.0
53325,44,Technology,Yes,1,10,3.0
53325,44,Technology,Yes,1,10,4.0
53325,44,Technology,Yes,1,10,4.0
53325,44,Technology,Yes,1,10,2.0
53325,44,Technology,Yes,1,10,5.0
47326,45,Sales,No,1,10,2.0
47326,45,Sales,No,1,10,4.0
47326,45,Sales,No,1,10,5.0
47326,45,Sales,No,1,10,4.0
47326,45,Sales,No,1,10,4.0
47326,45,Sales,No,1,10,4.0
47326,45,Sales,No,1,10,3.0
47326,45,Sales,No,1,10,4.0
48147,41,Sales,No,1,10,5.0
48147,41,Sales,No,1,10,3.0
48147,41,Sales,No,1,10,4.0
48147,41,Sales,No,1,10,4.0
48147,41,Sales,No,1,10,5.0
48147,41,Sales,No,1,10,4.0
48147,41,Sales,No,1,10,5.0
48147,41,Sales,No,1,10,4.0
463051,42,Human Resources,No,1,10,3.0
463051,42,Human Resources,No,1,10,4.0
463051,42,Human Resources,No,1,10,2.0
463051,42,Human Resources,No,1,10,5.0
463051,42,Human Resources,No,1,10,4.0
463051,42,Human Resources,No,1,10,4.0
463051,42,Human Resources,No,1,10,5.0
463051,42,Human Resources,No,1,10,4.0
111294,36,Technology,No,1,10,3.0
111294,36,Technology,No,1,10,4.0
111294,36,Technology,No,1,10,4.0
111294,36,Technology,No,1,10,5.0
111294,36,Technology,No,1,10,2.0
111294,36,Technology,No,1,10,4.0
111294,36,Technology,No,1,10,2.0
111294,36,Technology,No,1,10,4.0
542695,35,Technology,No,0,10,4.0
542695,35,Technology,No,0,10,4.0
542695,35,Technology,No,0,10,5.0
542695,35,Technology,No,0,10,4.0
542695,35,Technology,No,0,10,3.0
542695,35,Technology,No,0,10,3.0
542695,35,Technology,No,0,10,4.0
542695,35,Technology,No,0,10,4.0
64795,45,Technology,Yes,3,10,3.0
64795,45,Technology,Yes,3,10,3.0
64795,45,Technology,Yes,3,10,2.0
64795,45,Technology,Yes,3,10,3.0
64795,45,Technology,Yes,3,10,2.0
64795,45,Technology,Yes,3,10,4.0
64795,45,Technology,Yes,3,10,3.0
64795,45,Technology,Yes,3,10,5.0
59086,35,Technology,Yes,1,10,2.0
59086,35,Technology,Yes,1,10,5.0
59086,35,Technology,Yes,1,10,4.0
59086,35,Technology,Yes,1,10,4.0
59086,35,Technology,Yes,1,10,3.0
59086,35,Technology,Yes,1,10,4.0
59086,35,Technology,Yes,1,10,2.0
59086,35,Technology,Yes,1,10,2.0
116966,41,Sales,No,2,10,4.0
116966,41,Sales,No,2,10,3.0
116966,41,Sales,No,2,10,3.0
116966,41,Sales,No,2,10,2.0
116966,41,Sales,No,2,10,4.0
116966,41,Sales,No,2,10,4.0
116966,41,Sales,No,2,10,2.0
116966,41,Sales,No,2,10,4.0
137427,39,Technology,Yes,0,10,3.0
137427,39,Technology,Yes,0,10,5.0
137427,39,Technology,Yes,0,10,2.0
137427,39,Technology,Yes,0,10,5.0
137427,39,Technology,Yes,0,10,3.0
137427,39,Technology,Yes,0,10,4.0
137427,39,Technology,Yes,0,10,4.0
137427,39,Technology,Yes,0,10,4.0
47464,48,Technology,No,0,10,5.0
47464,48,Technology,No,0,10,3.0
47464,48,Technology,No,0,10,3.0
47464,48,Technology,No,0,10,3.0
47464,48,Technology,No,0,10,2.0
47464,48,Technology,No,0,10,3.0
47464,48,Technology,No,0,10,4.0
47464,48,Technology,No,0,10,3.0
150731,46,Sales,No,2,10,5.0
150731,46,Sales,No,2,10,4.0
150731,46,Sales,No,2,10,4.0
150731,46,Sales,No,2,10,4.0
150731,46,Sales,No,2,10,2.0
150731,46,Sales,No,2,10,4.0
150731,46,Sales,No,2,10,5.0
150731,46,Sales,No,2,10,5.0
436813,43,Technology,No,2,10,4.0
436813,43,Technology,No,2,10,4.0
436813,43,Technology,No,2,10,5.0
436813,43,Technology,No,2,10,4.0
436813,43,Technology,No,2,10,4.0
436813,43,Technology,No,2,10,4.0
436813,43,Technology,No,2,10,5.0
436813,43,Technology,No,2,10,5.0
205159,46,Sales,No,1,10,2.0
205159,46,Sales,No,1,10,5.0
205159,46,Sales,No,1,10,2.0
205159,46,Sales,No,1,10,4.0
205159,46,Sales,No,1,10,5.0
205159,46,Sales,No,1,10,5.0
205159,46,Sales,No,1,10,4.0
205159,46,Sales,No,1,10,2.0
70771,30,Technology,No,1,10,4.0
70771,30,Technology,No,1,10,4.0
70771,30,Technology,No,1,10,2.0
70771,30,Technology,No,1,10,3.0
70771,30,Technology,No,1,10,4.0
70771,30,Technology,No,1,10,4.0
70771,30,Technology,No,1,10,5.0
70771,30,Technology,No,1,10,3.0
126238,30,Technology,No,0,10,3.0
126238,30,Technology,No,0,10,4.0
126238,30,Technology,No,0,10,3.0
126238,30,Technology,No,0,10,5.0
126238,30,Technology,No,0,10,2.0
126238,30,Technology,No,0,10,3.0
126238,30,Technology,No,0,10,4.0
126238,30,Technology,No,0,10,3.0
58685,39,Technology,No,0,9,3.0
58685,39,Technology,No,0,9,3.0
58685,39,Technology,No,0,9,3.0
58685,39,Technology,No,0,9,2.0
58685,39,Technology,No,0,9,4.0
58685,39,Technology,No,0,9,2.0
58685,39,Technology,No,0,9,2.0
58685,39,Technology,No,0,9,4.0
58685,39,Technology,No,0,9,4.0
58685,39,Technology,No,0,9,3.0
182764,35,Sales,Yes,2,10,3.0
182764,35,Sales,Yes,2,10,4.0
182764,35,Sales,Yes,2,10,4.0
182764,35,Sales,Yes,2,10,4.0
182764,35,Sales,Yes,2,10,3.0
182764,35,Sales,Yes,2,10,4.0
182764,35,Sales,Yes,2,10,2.0
182764,35,Sales,Yes,2,10,5.0
47995,35,Human Resources,Yes,3,10,4.0
47995,35,Human Resources,Yes,3,10,4.0
47995,35,Human Resources,Yes,3,10,5.0
47995,35,Human Resources,Yes,3,10,2.0
47995,35,Human Resources,Yes,3,10,3.0
47995,35,Human Resources,Yes,3,10,3.0
47995,35,Human Resources,Yes,3,10,4.0
47995,35,Human Resources,Yes,3,10,2.0
48930,28,Technology,Yes,1,7,3.0
48930,28,Technology,Yes,1,7,3.0
48930,28,Technology,Yes,1,7,3.0
48930,28,Technology,Yes,1,7,5.0
48930,28,Technology,Yes,1,7,3.0
48930,28,Technology,Yes,1,7,4.0
48930,28,Technology,Yes,1,7,3.0
48930,28,Technology,Yes,1,7,5.0
48930,28,Technology,Yes,1,7,2.0
48930,28,Technology,Yes,1,7,2.0
102964,46,Technology,No,2,10,4.0
102964,46,Technology,No,2,10,3.0
102964,46,Technology,No,2,10,3.0
102964,46,Technology,No,2,10,4.0
102964,46,Technology,No,2,10,4.0
102964,46,Technology,No,2,10,2.0
102964,46,Technology,No,2,10,3.0
102964,46,Technology,No,2,10,4.0
482510,43,Technology,No,1,10,3.0
482510,43,Technology,No,1,10,2.0
482510,43,Technology,No,1,10,4.0
482510,43,Technology,No,1,10,5.0
482510,43,Technology,No,1,10,4.0
482510,43,Technology,No,1,10,3.0
482510,43,Technology,No,1,10,3.0
482510,43,Technology,No,1,10,4.0
116057,36,Sales,No,1,10,4.0
116057,36,Sales,No,1,10,5.0
116057,36,Sales,No,1,10,4.0
116057,36,Sales,No,1,10,3.0
116057,36,Sales,No,1,10,4.0
116057,36,Sales,No,1,10,5.0
116057,36,Sales,No,1,10,5.0
116057,36,Sales,No,1,10,4.0
90264,45,Technology,Yes,0,10,3.0
90264,45,Technology,Yes,0,10,5.0
90264,45,Technology,Yes,0,10,3.0
90264,45,Technology,Yes,0,10,3.0
90264,45,Technology,Yes,0,10,2.0
90264,45,Technology,Yes,0,10,4.0
90264,45,Technology,Yes,0,10,3.0
90264,45,Technology,Yes,0,10,4.0
106277,42,Sales,No,2,10,2.0
106277,42,Sales,No,2,10,4.0
