Salary,Age,StockOptionLevel,YearsAtCompany,EducationLevel,EnvironmentSatisfaction,TrainingOpportunitiesWithinYear,TrainingOpportunitiesTaken,SelfRating,ManagerRating
61298,36,1,10,High School ,5.0,3.0,3.0,4.0,3.0
61298,36,1,10,High School ,5.0,3.0,1.0,5.0,5.0
61298,36,1,10,High School ,5.0,3.0,1.0,5.0,5.0
61298,36,1,10,High School ,4.0,2.0,0.0,5.0,5.0
61298,36,1,10,High School ,3.0,3.0,0.0,4.0,3.0
61298,36,1,10,High School ,4.0,3.0,0.0,5.0,5.0
61298,36,1,10,High School ,5.0,3.0,0.0,3.0,2.0
61298,36,1,10,High School ,5.0,2.0,0.0,5.0,4.0
54132,45,1,10,High School ,4.0,1.0,1.0,4.0,4.0
54132,45,1,10,High School ,3.0,3.0,0.0,3.0,2.0
54132,45,1,10,High School ,3.0,2.0,1.0,5.0,4.0
54132,45,1,10,High School ,5.0,3.0,0.0,4.0,3.0
54132,45,1,10,High School ,4.0,2.0,3.0,3.0,3.0
54132,45,1,10,High School ,5.0,1.0,0.0,5.0,5.0
54132,45,1,10,High School ,3.0,3.0,0.0,3.0,2.0
54132,45,1,10,High School ,4.0,3.0,1.0,3.0,3.0
328415,30,0,10,Masters ,4.0,1.0,0.0,3.0,2.0
328415,30,0,10,Masters ,5.0,2.0,0.0,4.0,4.0
328415,30,0,10,Masters ,5.0,1.0,1.0,5.0,4.0
328415,30,0,10,Masters ,4.0,1.0,0.0,5.0,4.0
328415,30,0,10,Masters ,4.0,2.0,2.0,4.0,3.0
328415,30,0,10,Masters ,3.0,1.0,0.0,5.0,4.0
328415,30,0,10,Masters ,3.0,2.0,2.0,5.0,5.0
328415,30,0,10,Masters ,3.0,3.0,0.0,5.0,5.0
145337,48,0,10,Bachelors ,3.0,1.0,0.0,3.0,3.0
145337,48,0,10,Bachelors ,4.0,2.0,1.0,4.0,4.0
145337,48,0,10,Bachelors ,3.0,1.0,2.0,5.0,5.0
145337,48,0,10,Bachelors ,3.0,1.0,0.0,3.0,2.0
145337,48,0,10,Bachelors ,3.0,2.0,0.0,4.0,4.0
145337,48,0,10,Bachelors ,3.0,3.0,0.0,4.0,4.0
145337,48,0,10,Bachelors ,5.0,3.0,1.0,3.0,3.0
145337,48,0,10,Bachelors ,5.0,3.0,1.0,3.0,3.0
71201,33,2,10,High School ,5.0,1.0,3.0,5.0,5.0
71201,33,2,10,High School ,5.0,2.0,1.0,3.0,2.0
71201,33,2,10,High School ,5.0,1.0,1.0,3.0,3.0
71201,33,2,10,High School ,5.0,1.0,2.0,5.0,4.0
71201,33,2,10,High School ,5.0,3.0,0.0,3.0,3.0
71201,33,2,10,High School ,5.0,1.0,1.0,3.0,3.0
71201,33,2,10,High School ,4.0,1.0,2.0,5.0,4.0
71201,33,2,10,High School ,5.0,2.0,1.0,3.0,2.0
55682,31,1,10,High School ,3.0,1.0,2.0,3.0,2.0
55682,31,1,10,High School ,4.0,3.0,3.0,4.0,3.0
55682,31,1,10,High School ,3.0,1.0,3.0,3.0,2.0
55682,31,1,10,High School ,4.0,3.0,3.0,5.0,5.0
55682,31,1,10,High School ,3.0,3.0,1.0,5.0,5.0
55682,31,1,10,High School ,4.0,1.0,0.0,5.0,4.0
55682,31,1,10,High School ,5.0,2.0,2.0,4.0,4.0
55682,31,1,10,High School ,3.0,1.0,1.0,5.0,4.0
63455,40,1,10,High School ,3.0,1.0,0.0,4.0,3.0
63455,40,1,10,High School ,4.0,2.0,2.0,3.0,2.0
63455,40,1,10,High School ,3.0,3.0,1.0,5.0,5.0
63455,40,1,10,High School ,4.0,2.0,0.0,4.0,3.0
63455,40,1,10,High School ,3.0,1.0,1.0,4.0,3.0
63455,40,1,10,High School ,4.0,3.0,0.0,3.0,2.0
63455,40,1,10,High School ,3.0,1.0,0.0,5.0,4.0
63455,40,1,10,High School ,5.0,3.0,1.0,4.0,3.0
65626,47,0,10,Bachelors ,3.0,2.0,1.0,3.0,2.0
65626,47,0,10,Bachelors ,5.0,3.0,0.0,5.0,5.0
65626,47,0,10,Bachelors ,3.0,2.0,0.0,4.0,3.0
65626,47,0,10,Bachelors ,3.0,1.0,2.0,5.0,5.0
65626,47,0,10,Bachelors ,4.0,3.0,0.0,5.0,5.0
65626,47,0,10,Bachelors ,4.0,1.0,1.0,4.0,4.0
65626,47,0,10,Bachelors ,3.0,2.0,0.0,3.0,2.0
65626,47,0,10,Bachelors ,3.0,1.0,1.0,5.0,4.0
68508,30,0,5,1,5.0,2.0,1.0,5.0,5.0
68508,30,0,5,1,5.0,3.0,2.0,4.0,3.0
68508,30,0,5,1,4.0,3.0,1.0,3.0,2.0
68508,30,0,5,1,3.0,2.0,0.0,3.0,3.0
68508,30,0,5,1,5.0,2.0,1.0,3.0,2.0
68508,30,0,5,1,5.0,3.0,0.0,4.0,4.0
68508,30,0,5,1,3.0,3.0,2.0,5.0,4.0
68508,30,0,5,1,3.0,3.0,0.0,4.0,4.0
68508,30,0,5,1,3.0,1.0,1.0,3.0,2.0
68508,30,0,5,1,5.0,1.0,1.0,4.0,4.0
75821,32,1,10,High School ,5.0,2.0,1.0,5.0,4.0
75821,32,1,10,High School ,5.0,1.0,1.0,5.0,4.0
75821,32,1,10,High School ,4.0,3.0,0.0,4.0,3.0
75821,32,1,10,High School ,5.0,2.0,1.0,4.0,4.0
75821,32,1,10,High School ,3.0,2.0,1.0,5.0,4.0
75821,32,1,10,High School ,4.0,3.0,0.0,5.0,4.0
75821,32,1,10,High School ,4.0,1.0,2.0,4.0,4.0
75821,32,1,10,High School ,5.0,1.0,1.0,5.0,5.0
285620,44,1,10,High School ,4.0,3.0,1.0,5.0,4.0
285620,44,1,10,High School ,3.0,1.0,3.0,4.0,4.0
285620,44,1,10,High School ,3.0,3.0,0.0,3.0,2.0
285620,44,1,10,High School ,4.0,1.0,0.0,5.0,5.0
285620,44,1,10,High School ,3.0,3.0,0.0,3.0,3.0
285620,44,1,10,High School ,3.0,1.0,1.0,5.0,5.0
285620,44,1,10,High School ,4.0,2.0,1.0,5.0,4.0
285620,44,1,10,High School ,5.0,3.0,0.0,3.0,2.0
65860,48,0,10,Bachelors ,3.0,3.0,0.0,4.0,4.0
65860,48,0,10,Bachelors ,3.0,2.0,1.0,5.0,5.0
65860,48,0,10,Bachelors ,3.0,2.0,1.0,5.0,4.0
65860,48,0,10,Bachelors ,5.0,1.0,3.0,4.0,3.0
65860,48,0,10,Bachelors ,3.0,1.0,0.0,4.0,4.0
65860,48,0,10,Bachelors ,4.0,3.0,1.0,4.0,3.0
65860,48,0,10,Bachelors ,3.0,3.0,1.0,3.0,2.0
65860,48,0,10,Bachelors ,3.0,2.0,2.0,5.0,4.0
40786,47,0,10,1,5.0,2.0,0.0,4.0,3.0
40786,47,0,10,1,5.0,1.0,0.0,3.0,3.0
40786,47,0,10,1,5.0,3.0,1.0,4.0,4.0
40786,47,0,10,1,3.0,3.0,1.0,4.0,4.0
40786,47,0,10,1,1.0,2.0,1.0,3.0,3.0
40786,47,0,10,1,5.0,1.0,3.0,3.0,3.0
40786,47,0,10,1,3.0,3.0,0.0,4.0,3.0
40786,47,0,10,1,3.0,1.0,3.0,4.0,4.0
59697,31,0,7,High School ,5.0,2.0,0.0,4.0,3.0
59697,31,0,7,High School ,4.0,2.0,3.0,5.0,4.0
59697,31,0,7,High School ,3.0,3.0,2.0,4.0,3.0
59697,31,0,7,High School ,4.0,1.0,0.0,3.0,2.0
59697,31,0,7,High School ,3.0,2.0,2.0,4.0,4.0
59697,31,0,7,High School ,4.0,1.0,1.0,5.0,5.0
59697,31,0,7,High School ,5.0,3.0,1.0,4.0,4.0
59697,31,0,7,High School ,3.0,1.0,1.0,5.0,5.0
59697,31,0,7,High School ,2.0,2.0,2.0,3.0,2.0
59697,31,0,7,High School ,4.0,1.0,2.0,4.0,3.0
316725,32,1,10,Bachelors ,4.0,1.0,3.0,3.0,2.0
316725,32,1,10,Bachelors ,5.0,2.0,0.0,3.0,2.0
316725,32,1,10,Bachelors ,5.0,3.0,1.0,4.0,4.0
316725,32,1,10,Bachelors ,3.0,3.0,1.0,4.0,4.0
316725,32,1,10,Bachelors ,2.0,3.0,0.0,5.0,5.0
316725,32,1,10,Bachelors ,5.0,3.0,1.0,5.0,5.0
316725,32,1,10,Bachelors ,5.0,1.0,3.0,3.0,2.0
316725,32,1,10,Bachelors ,4.0,1.0,2.0,4.0,3.0
105984,28,2,10,High School ,4.0,2.0,1.0,5.0,4.0
105984,28,2,10,High School ,3.0,2.0,0.0,3.0,3.0
105984,28,2,10,High School ,5.0,3.0,1.0,4.0,4.0
105984,28,2,10,High School ,4.0,3.0,0.0,3.0,3.0
105984,28,2,10,High School ,4.0,1.0,0.0,5.0,4.0
105984,28,2,10,High School ,5.0,2.0,0.0,5.0,5.0
105984,28,2,10,High School ,5.0,1.0,0.0,4.0,3.0
105984,28,2,10,High School ,4.0,1.0,0.0,5.0,4.0
393294,32,1,10,Bachelors ,3.0,3.0,2.0,5.0,4.0
393294,32,1,10,Bachelors ,4.0,3.0,2.0,3.0,2.0
393294,32,1,10,Bachelors ,4.0,1.0,0.0,4.0,3.0
393294,32,1,10,Bachelors ,5.0,2.0,0.0,4.0,4.0
393294,32,1,10,Bachelors ,5.0,3.0,1.0,4.0,4.0
393294,32,1,10,Bachelors ,4.0,3.0,3.0,5.0,4.0
393294,32,1,10,Bachelors ,4.0,1.0,1.0,3.0,2.0
393294,32,1,10,Bachelors ,3.0,3.0,1.0,5.0,5.0
107008,41,0,10,1,3.0,3.0,1.0,4.0,3.0
107008,41,0,10,1,4.0,3.0,0.0,5.0,4.0
107008,41,0,10,1,4.0,1.0,3.0,5.0,4.0
107008,41,0,10,1,3.0,2.0,2.0,3.0,3.0
107008,41,0,10,1,5.0,2.0,1.0,4.0,3.0
107008,41,0,10,1,4.0,1.0,2.0,5.0,5.0
107008,41,0,10,1,3.0,1.0,1.0,4.0,4.0
107008,41,0,10,1,4.0,1.0,2.0,3.0,3.0
127432,34,0,10,1,5.0,2.0,0.0,3.0,2.0
127432,34,0,10,1,5.0,1.0,0.0,5.0,4.0
127432,34,0,10,1,5.0,3.0,0.0,4.0,3.0
127432,34,0,10,1,4.0,1.0,1.0,3.0,2.0
127432,34,0,10,1,4.0,1.0,1.0,3.0,2.0
127432,34,0,10,1,5.0,1.0,1.0,5.0,5.0
127432,34,0,10,1,3.0,2.0,2.0,3.0,2.0
127432,34,0,10,1,4.0,1.0,3.0,4.0,4.0
76693,45,1,10,High School ,5.0,3.0,0.0,3.0,2.0
76693,45,1,10,High School ,5.0,1.0,2.0,4.0,3.0
76693,45,1,10,High School ,4.0,2.0,1.0,3.0,2.0
76693,45,1,10,High School ,5.0,2.0,1.0,3.0,3.0
76693,45,1,10,High School ,5.0,2.0,1.0,4.0,3.0
76693,45,1,10,High School ,1.0,2.0,2.0,3.0,2.0
76693,45,1,10,High School ,4.0,3.0,1.0,5.0,4.0
76693,45,1,10,High School ,4.0,2.0,0.0,5.0,5.0
90017,39,0,10,Bachelors ,5.0,3.0,0.0,5.0,5.0
90017,39,0,10,Bachelors ,3.0,3.0,1.0,5.0,4.0
90017,39,0,10,Bachelors ,5.0,2.0,1.0,4.0,3.0
90017,39,0,10,Bachelors ,4.0,1.0,3.0,5.0,4.0
90017,39,0,10,Bachelors ,5.0,3.0,1.0,5.0,5.0
90017,39,0,10,Bachelors ,4.0,2.0,1.0,3.0,3.0
90017,39,0,10,Bachelors ,5.0,1.0,1.0,3.0,2.0
90017,39,0,10,Bachelors ,4.0,1.0,3.0,3.0,3.0
426142,44,0,10,Bachelors ,4.0,1.0,2.0,4.0,4.0
426142,44,0,10,Bachelors ,5.0,2.0,1.0,4.0,3.0
426142,44,0,10,Bachelors ,3.0,1.0,3.0,5.0,4.0
426142,44,0,10,Bachelors ,4.0,3.0,0.0,3.0,2.0
426142,44,0,10,Bachelors ,4.0,1.0,0.0,3.0,3.0
426142,44,0,10,Bachelors ,5.0,2.0,2.0,4.0,3.0
426142,44,0,10,Bachelors ,5.0,1.0,0.0,3.0,2.0
426142,44,0,10,Bachelors ,3.0,1.0,1.0,3.0,2.0
46514,47,2,10,High School ,3.0,1.0,0.0,5.0,4.0
46514,47,2,10,High School ,3.0,1.0,2.0,5.0,4.0
46514,47,2,10,High School ,5.0,3.0,2.0,5.0,4.0
46514,47,2,10,High School ,5.0,2.0,1.0,4.0,4.0
46514,47,2,10,High School ,5.0,3.0,0.0,3.0,3.0
46514,47,2,10,High School ,4.0,3.0,0.0,5.0,4.0
46514,47,2,10,High School ,3.0,2.0,0.0,5.0,5.0
46514,47,2,10,High School ,5.0,2.0,2.0,5.0,4.0
125587,48,0,10,5,4.0,2.0,0.0,4.0,4.0
125587,48,0,10,5,3.0,1.0,1.0,4.0,3.0
125587,48,0,10,5,2.0,3.0,1.0,3.0,2.0
125587,48,0,10,5,3.0,1.0,2.0,3.0,3.0
125587,48,0,10,5,3.0,1.0,0.0,3.0,3.0
125587,48,0,10,5,4.0,2.0,2.0,3.0,3.0
125587,48,0,10,5,3.0,3.0,2.0,5.0,4.0
125587,48,0,10,5,4.0,1.0,1.0,4.0,3.0
98608,47,0,10,Bachelors ,1.0,2.0,1.0,3.0,2.0
98608,47,0,10,Bachelors ,4.0,2.0,1.0,3.0,3.0
98608,47,0,10,Bachelors ,3.0,2.0,0.0,4.0,4.0
98608,47,0,10,Bachelors ,5.0,1.0,2.0,4.0,3.0
98608,47,0,10,Bachelors ,3.0,1.0,2.0,5.0,4.0
98608,47,0,10,Bachelors ,5.0,1.0,0.0,4.0,4.0
98608,47,0,10,Bachelors ,4.0,3.0,1.0,3.0,2.0
98608,47,0,10,Bachelors ,5.0,2.0,1.0,5.0,4.0
72794,48,1,10,Bachelors ,3.0,2.0,1.0,5.0,5.0
72794,48,1,10,Bachelors ,3.0,3.0,3.0,4.0,3.0
72794,48,1,10,Bachelors ,5.0,2.0,1.0,4.0,3.0
72794,48,1,10,Bachelors ,5.0,2.0,0.0,4.0,4.0
72794,48,1,10,Bachelors ,3.0,1.0,1.0,3.0,3.0
72794,48,1,10,Bachelors ,1.0,3.0,2.0,4.0,3.0
72794,48,1,10,Bachelors ,5.0,3.0,3.0,4.0,3.0
72794,48,1,10,Bachelors ,5.0,2.0,0.0,4.0,3.0
69119,40,0,10,High School ,4.0,2.0,2.0,5.0,4.0
69119,40,0,10,High School ,5.0,2.0,0.0,5.0,4.0
69119,40,0,10,High School ,4.0,3.0,1.0,4.0,4.0
69119,40,0,10,High School ,3.0,3.0,1.0,3.0,3.0
69119,40,0,10,High School ,5.0,3.0,1.0,4.0,4.0
69119,40,0,10,High School ,5.0,2.0,3.0,4.0,3.0
69119,40,0,10,High School ,4.0,3.0,1.0,3.0,3.0
69119,40,0,10,High School ,4.0,1.0,1.0,4.0,3.0
