EmployeeID,Attrition,Gender,Age,Department,BusinessTravel,MaritalStatus,DistanceFromHome (KM),Salary,StockOptionLevel,OverTime,YearsAtCompany,YearsInMostRecentRole,YearsSinceLastPromotion,YearsWithCurrManager,Ethnicity,EducationLevel,EnvironmentSatisfaction,JobSatisfaction,RelationshipSatisfaction,WorkLifeBalance,TrainingOpportunitiesWithinYear,TrainingOpportunitiesTaken,SelfRating,ManagerRating,EnvironmentSatisfaction_Label,JobSatisfaction_Label,RelationshipSatisfaction_Label,WorkLifeBalance_Label,ManagerRating_Label,SelfRating_Label,TrainingUtilizationRate
CBCB-9C9D,0,Male,38,Sales,Some Travel,Single,23,157718,0,Yes,10,6,10,0,White,Masters ,5.0,2.0,5.0,2.0,2.0,0.0,5.0,5.0,Very Satisfied,Dissatisfied,Very Satisfied,Dissatisfied,Above and Beyond,Above and Beyond,0.0
CBCB-9C9D,0,Male,38,Sales,Some Travel,Single,23,157718,0,Yes,10,6,10,0,White,Masters ,4.0,3.0,4.0,3.0,3.0,2.0,4.0,3.0,Satisfied ,Neutral,Satisfied ,Neutral,Meets Expectation,Exceeds Expectation ,0.6666644444518518
CBCB-9C9D,0,Male,38,Sales,Some Travel,Single,23,157718,0,Yes,10,6,10,0,White,Masters ,5.0,5.0,4.0,3.0,3.0,2.0,4.0,4.0,Very Satisfied,Very Satisfied,Satisfied ,Neutral,Exceeds Expectation ,Exceeds Expectation ,0.6666644444518518
CBCB-9C9D,0,Male,38,Sales,Some Travel,Single,23,157718,0,Yes,10,6,10,0,White,Masters ,3.0,2.0,2.0,2.0,2.0,0.0,3.0,3.0,Neutral,Dissatisfied,Dissatisfied,Dissatisfied,Meets Expectation,Meets Expectation,0.0
CBCB-9C9D,0,Male,38,Sales,Some Travel,Single,23,157718,0,Yes,10,6,10,0,White,Masters ,5.0,3.0,4.0,4.0,2.0,1.0,4.0,4.0,Very Satisfied,Neutral,Satisfied ,Satisfied ,Exceeds Expectation ,Exceeds Expectation ,0.4999975000124999
CBCB-9C9D,0,Male,38,Sales,Some Travel,Single,23,157718,0,Yes,10,6,10,0,White,Masters ,3.0,4.0,4.0,2.0,3.0,0.0,5.0,4.0,Neutral,Satisfied ,Satisfied ,Dissatisfied,Exceeds Expectation ,Above and Beyond,0.0
CBCB-9C9D,0,Male,38,Sales,Some Travel,Single,23,157718,0,Yes,10,6,10,0,White,Masters ,4.0,3.0,4.0,4.0,3.0,2.0,5.0,5.0,Satisfied ,Neutral,Satisfied ,Satisfied ,Above and Beyond,Above and Beyond,0.6666644444518518
95D7-1CE9,0,Male,43,Human Resources,Some Travel,Married,29,309964,1,No,10,6,10,8,Asian or Asian American,Masters ,3.0,3.0,2.0,2.0,1.0,0.0,3.0,2.0,Neutral,Neutral,Dissatisfied,Dissatisfied,Needs Improvement,Meets Expectation,0.0
95D7-1CE9,0,Male,43,Human Resources,Some Travel,Married,29,309964,1,No,10,6,10,8,Asian or Asian American,Masters ,4.0,4.0,3.0,5.0,2.0,2.0,4.0,4.0,Satisfied ,Satisfied ,Neutral,Very Satisfied,Exceeds Expectation ,Exceeds Expectation ,0.999995000025
95D7-1CE9,0,Male,43,Human Resources,Some Travel,Married,29,309964,1,No,10,6,10,8,Asian or Asian American,Masters ,5.0,4.0,4.0,5.0,2.0,2.0,3.0,2.0,Very Satisfied,Satisfied ,Satisfied ,Very Satisfied,Needs Improvement,Meets Expectation,0.999995000025
95D7-1CE9,0,Male,43,Human Resources,Some Travel,Married,29,309964,1,No,10,6,10,8,Asian or Asian American,Masters ,5.0,2.0,3.0,2.0,1.0,0.0,4.0,4.0,Very Satisfied,Dissatisfied,Neutral,Dissatisfied,Exceeds Expectation ,Exceeds Expectation ,0.0
95D7-1CE9,0,Male,43,Human Resources,Some Travel,Married,29,309964,1,No,10,6,10,8,Asian or Asian American,Masters ,3.0,4.0,2.0,2.0,3.0,0.0,3.0,3.0,Neutral,Satisfied ,Dissatisfied,Dissatisfied,Meets Expectation,Meets Expectation,0.0
95D7-1CE9,0,Male,43,Human Resources,Some Travel,Married,29,309964,1,No,10,6,10,8,Asian or Asian American,Masters ,4.0,2.0,3.0,5.0,3.0,0.0,3.0,2.0,Satisfied ,Dissatisfied,Neutral,Very Satisfied,Needs Improvement,Meets Expectation,0.0
95D7-1CE9,0,Male,43,Human Resources,Some Travel,Married,29,309964,1,No,10,6,10,8,Asian or Asian American,Masters ,4.0,4.0,3.0,4.0,3.0,2.0,4.0,3.0,Satisfied ,Satisfied ,Neutral,Satisfied ,Meets Expectation,Exceeds Expectation ,0.6666644444518518
95D7-1CE9,0,Male,43,Human Resources,Some Travel,Married,29,309964,1,No,10,6,10,8,Asian or Asian American,Masters ,4.0,5.0,3.0,4.0,3.0,0.0,4.0,3.0,Satisfied ,Very Satisfied,Neutral,Satisfied ,Meets Expectation,Exceeds Expectation ,0.0
95D7-1CE9,0,Male,43,Human Resources,Some Travel,Married,29,309964,1,No,10,6,10,8,Asian or Asian American,Masters ,3.0,4.0,3.0,5.0,1.0,0.0,4.0,4.0,Neutral,Satisfied ,Neutral,Very Satisfied,Exceeds Expectation ,Exceeds Expectation ,0.0
47A0-559B,0,Non-Binary,39,Technology,Some Travel,Married,12,293132,0,No,10,10,10,0,White,Bachelors ,3.0,5.0,3.0,2.0,3.0,0.0,3.0,3.0,Neutral,Very Satisfied,Neutral,Dissatisfied,Meets Expectation,Meets Expectation,0.0
47A0-559B,0,Non-Binary,39,Technology,Some Travel,Married,12,293132,0,No,10,10,10,0,White,Bachelors ,4.0,5.0,5.0,5.0,1.0,1.0,4.0,3.0,Satisfied ,Very Satisfied,Very Satisfied,Very Satisfied,Meets Expectation,Exceeds Expectation ,0.9999900000999988
47A0-559B,0,Non-Binary,39,Technology,Some Travel,Married,12,293132,0,No,10,10,10,0,White,Bachelors ,4.0,3.0,4.0,2.0,3.0,1.0,4.0,4.0,Satisfied ,Neutral,Satisfied ,Dissatisfied,Exceeds Expectation ,Exceeds Expectation ,0.3333322222259259
47A0-559B,0,Non-Binary,39,Technology,Some Travel,Married,12,293132,0,No,10,10,10,0,White,Bachelors ,3.0,5.0,5.0,2.0,1.0,2.0,5.0,5.0,Neutral,Very Satisfied,Very Satisfied,Dissatisfied,Above and Beyond,Above and Beyond,1.9999800001999977
47A0-559B,0,Non-Binary,39,Technology,Some Travel,Married,12,293132,0,No,10,10,10,0,White,Bachelors ,4.0,4.0,3.0,5.0,3.0,2.0,3.0,2.0,Satisfied ,Satisfied ,Neutral,Very Satisfied,Needs Improvement,Meets Expectation,0.6666644444518518
47A0-559B,0,Non-Binary,39,Technology,Some Travel,Married,12,293132,0,No,10,10,10,0,White,Bachelors ,4.0,5.0,2.0,2.0,3.0,2.0,5.0,4.0,Satisfied ,Very Satisfied,Dissatisfied,Dissatisfied,Exceeds Expectation ,Above and Beyond,0.6666644444518518
47A0-559B,0,Non-Binary,39,Technology,Some Travel,Married,12,293132,0,No,10,10,10,0,White,Bachelors ,1.0,1.0,2.0,2.0,1.0,1.0,3.0,3.0,Very Dissatisfied,Very Dissatisfied,Dissatisfied,Dissatisfied,Meets Expectation,Meets Expectation,0.9999900000999988
47A0-559B,0,Non-Binary,39,Technology,Some Travel,Married,12,293132,0,No,10,10,10,0,White,Bachelors ,5.0,4.0,3.0,2.0,1.0,1.0,5.0,5.0,Very Satisfied,Satisfied ,Neutral,Dissatisfied,Above and Beyond,Above and Beyond,0.9999900000999988
47A0-559B,0,Non-Binary,39,Technology,Some Travel,Married,12,293132,0,No,10,10,10,0,White,Bachelors ,1.0,4.0,3.0,3.0,2.0,2.0,3.0,3.0,Very Dissatisfied,Satisfied ,Neutral,Neutral,Meets Expectation,Meets Expectation,0.999995000025
42CC-040A,1,Female,29,Human Resources,Some Travel,Single,29,49606,0,No,6,1,1,6,White,High School ,4.0,3.0,2.0,5.0,1.0,0.0,3.0,2.0,Satisfied ,Neutral,Dissatisfied,Very Satisfied,Needs Improvement,Meets Expectation,0.0
42CC-040A,1,Female,29,Human Resources,Some Travel,Single,29,49606,0,No,6,1,1,6,White,High School ,5.0,2.0,4.0,5.0,2.0,1.0,4.0,3.0,Very Satisfied,Dissatisfied,Satisfied ,Very Satisfied,Meets Expectation,Exceeds Expectation ,0.4999975000124999
42CC-040A,1,Female,29,Human Resources,Some Travel,Single,29,49606,0,No,6,1,1,6,White,High School ,4.0,3.0,5.0,4.0,1.0,2.0,4.0,3.0,Satisfied ,Neutral,Very Satisfied,Satisfied ,Meets Expectation,Exceeds Expectation ,1.9999800001999977
42CC-040A,1,Female,29,Human Resources,Some Travel,Single,29,49606,0,No,6,1,1,6,White,High School ,4.0,3.0,2.0,3.0,1.0,1.0,4.0,3.0,Satisfied ,Neutral,Dissatisfied,Neutral,Meets Expectation,Exceeds Expectation ,0.9999900000999988
42CC-040A,1,Female,29,Human Resources,Some Travel,Single,29,49606,0,No,6,1,1,6,White,High School ,4.0,5.0,4.0,4.0,3.0,0.0,4.0,3.0,Satisfied ,Very Satisfied,Satisfied ,Satisfied ,Meets Expectation,Exceeds Expectation ,0.0
42CC-040A,1,Female,29,Human Resources,Some Travel,Single,29,49606,0,No,6,1,1,6,White,High School ,4.0,5.0,4.0,5.0,2.0,3.0,5.0,5.0,Satisfied ,Very Satisfied,Satisfied ,Very Satisfied,Above and Beyond,Above and Beyond,1.4999925000374998
42CC-040A,1,Female,29,Human Resources,Some Travel,Single,29,49606,0,No,6,1,1,6,White,High School ,3.0,4.0,5.0,5.0,3.0,2.0,4.0,4.0,Neutral,Satisfied ,Very Satisfied,Very Satisfied,Exceeds Expectation ,Exceeds Expectation ,0.6666644444518518
42CC-040A,1,Female,29,Human Resources,Some Travel,Single,29,49606,0,No,6,1,1,6,White,High School ,3.0,4.0,3.0,5.0,1.0,2.0,3.0,2.0,Neutral,Satisfied ,Neutral,Very Satisfied,Needs Improvement,Meets Expectation,1.9999800001999977
42CC-040A,1,Female,29,Human Resources,Some Travel,Single,29,49606,0,No,6,1,1,6,White,High School ,5.0,2.0,5.0,3.0,2.0,1.0,3.0,2.0,Very Satisfied,Dissatisfied,Very Satisfied,Neutral,Needs Improvement,Meets Expectation,0.4999975000124999
C219-6C2E,0,Male,34,Sales,Some Travel,Divorced,30,133468,1,No,10,3,7,9,Mixed or multiple ethnic groups,High School ,4.0,4.0,2.0,5.0,3.0,1.0,4.0,4.0,Satisfied ,Satisfied ,Dissatisfied,Very Satisfied,Exceeds Expectation ,Exceeds Expectation ,0.3333322222259259
C219-6C2E,0,Male,34,Sales,Some Travel,Divorced,30,133468,1,No,10,3,7,9,Mixed or multiple ethnic groups,High School ,5.0,5.0,2.0,4.0,1.0,2.0,5.0,4.0,Very Satisfied,Very Satisfied,Dissatisfied,Satisfied ,Exceeds Expectation ,Above and Beyond,1.9999800001999977
C219-6C2E,0,Male,34,Sales,Some Travel,Divorced,30,133468,1,No,10,3,7,9,Mixed or multiple ethnic groups,High School ,3.0,4.0,2.0,3.0,2.0,0.0,5.0,5.0,Neutral,Satisfied ,Dissatisfied,Neutral,Above and Beyond,Above and Beyond,0.0
C219-6C2E,0,Male,34,Sales,Some Travel,Divorced,30,133468,1,No,10,3,7,9,Mixed or multiple ethnic groups,High School ,4.0,4.0,4.0,2.0,2.0,1.0,3.0,3.0,Satisfied ,Satisfied ,Satisfied ,Dissatisfied,Meets Expectation,Meets Expectation,0.4999975000124999
C219-6C2E,0,Male,34,Sales,Some Travel,Divorced,30,133468,1,No,10,3,7,9,Mixed or multiple ethnic groups,High School ,5.0,5.0,2.0,2.0,2.0,2.0,4.0,4.0,Very Satisfied,Very Satisfied,Dissatisfied,Dissatisfied,Exceeds Expectation ,Exceeds Expectation ,0.999995000025
C219-6C2E,0,Male,34,Sales,Some Travel,Divorced,30,133468,1,No,10,3,7,9,Mixed or multiple ethnic groups,High School ,4.0,5.0,4.0,5.0,1.0,3.0,5.0,4.0,Satisfied ,Very Satisfied,Satisfied ,Very Satisfied,Exceeds Expectation ,Above and Beyond,2.9999700002999967
C219-6C2E,0,Male,34,Sales,Some Travel,Divorced,30,133468,1,No,10,3,7,9,Mixed or multiple ethnic groups,High School ,4.0,2.0,3.0,3.0,3.0,0.0,3.0,2.0,Satisfied ,Dissatisfied,Neutral,Neutral,Needs Improvement,Meets Expectation,0.0
C219-6C2E,0,Male,34,Sales,Some Travel,Divorced,30,133468,1,No,10,3,7,9,Mixed or multiple ethnic groups,High School ,4.0,2.0,4.0,2.0,3.0,0.0,5.0,5.0,Satisfied ,Dissatisfied,Satisfied ,Dissatisfied,Above and Beyond,Above and Beyond,0.0
C219-6C2E,0,Male,34,Sales,Some Travel,Divorced,30,133468,1,No,10,3,7,9,Mixed or multiple ethnic groups,High School ,4.0,3.0,3.0,4.0,1.0,3.0,3.0,2.0,Satisfied ,Neutral,Neutral,Satisfied ,Needs Improvement,Meets Expectation,2.9999700002999967
D906-B674,0,Female,42,Technology,No Travel ,Married,45,259284,1,No,10,2,6,6,Black or African American,Bachelors ,3.0,3.0,3.0,3.0,2.0,1.0,5.0,4.0,Neutral,Neutral,Neutral,Neutral,Exceeds Expectation ,Above and Beyond,0.4999975000124999
D906-B674,0,Female,42,Technology,No Travel ,Married,45,259284,1,No,10,2,6,6,Black or African American,Bachelors ,4.0,5.0,5.0,4.0,3.0,2.0,4.0,4.0,Satisfied ,Very Satisfied,Very Satisfied,Satisfied ,Exceeds Expectation ,Exceeds Expectation ,0.6666644444518518
D906-B674,0,Female,42,Technology,No Travel ,Married,45,259284,1,No,10,2,6,6,Black or African American,Bachelors ,4.0,5.0,4.0,2.0,3.0,2.0,4.0,3.0,Satisfied ,Very Satisfied,Satisfied ,Dissatisfied,Meets Expectation,Exceeds Expectation ,0.6666644444518518
D906-B674,0,Female,42,Technology,No Travel ,Married,45,259284,1,No,10,2,6,6,Black or African American,Bachelors ,5.0,3.0,5.0,2.0,3.0,0.0,4.0,4.0,Very Satisfied,Neutral,Very Satisfied,Dissatisfied,Exceeds Expectation ,Exceeds Expectation ,0.0
D906-B674,0,Female,42,Technology,No Travel ,Married,45,259284,1,No,10,2,6,6,Black or African American,Bachelors ,3.0,5.0,5.0,3.0,1.0,1.0,5.0,5.0,Neutral,Very Satisfied,Very Satisfied,Neutral,Above and Beyond,Above and Beyond,0.9999900000999988
D906-B674,0,Female,42,Technology,No Travel ,Married,45,259284,1,No,10,2,6,6,Black or African American,Bachelors ,4.0,3.0,5.0,4.0,3.0,0.0,5.0,5.0,Satisfied ,Neutral,Very Satisfied,Satisfied ,Above and Beyond,Above and Beyond,0.0
D906-B674,0,Female,42,Technology,No Travel ,Married,45,259284,1,No,10,2,6,6,Black or African American,Bachelors ,4.0,5.0,4.0,4.0,2.0,0.0,5.0,4.0,Satisfied ,Very Satisfied,Satisfied ,Satisfied ,Exceeds Expectation ,Above and Beyond,0.0
D906-B674,0,Female,42,Technology,No Travel ,Married,45,259284,1,No,10,2,6,6,Black or African American,Bachelors ,3.0,5.0,3.0,2.0,3.0,3.0,5.0,4.0,Neutral,Very Satisfied,Neutral,Dissatisfied,Exceeds Expectation ,Above and Beyond,0.9999966666777778
D906-B674,0,Female,42,Technology,No Travel ,Married,45,259284,1,No,10,2,6,6,Black or African American,Bachelors ,3.0,5.0,2.0,3.0,3.0,2.0,4.0,4.0,Neutral,Very Satisfied,Dissatisfied,Neutral,Exceeds Expectation ,Exceeds Expectation ,0.6666644444518518
3C7D-86ED,0,Female,40,Sales,Some Travel,Divorced,3,104426,1,No,10,3,4,6,Native Hawaiian ,High School ,5.0,2.0,2.0,5.0,2.0,3.0,5.0,4.0,Very Satisfied,Dissatisfied,Dissatisfied,Very Satisfied,Exceeds Expectation ,Above and Beyond,1.4999925000374998
3C7D-86ED,0,Female,40,Sales,Some Travel,Divorced,3,104426,1,No,10,3,4,6,Native Hawaiian ,High School ,5.0,5.0,3.0,2.0,3.0,1.0,3.0,2.0,Very Satisfied,Very Satisfied,Neutral,Dissatisfied,Needs Improvement,Meets Expectation,0.3333322222259259
3C7D-86ED,0,Female,40,Sales,Some Travel,Divorced,3,104426,1,No,10,3,4,6,Native Hawaiian ,High School ,5.0,2.0,4.0,3.0,1.0,3.0,3.0,2.0,Very Satisfied,Dissatisfied,Satisfied ,Neutral,Needs Improvement,Meets Expectation,2.9999700002999967
3C7D-86ED,0,Female,40,Sales,Some Travel,Divorced,3,104426,1,No,10,3,4,6,Native Hawaiian ,High School ,3.0,5.0,5.0,5.0,3.0,2.0,3.0,3.0,Neutral,Very Satisfied,Very Satisfied,Very Satisfied,Meets Expectation,Meets Expectation,0.6666644444518518
3C7D-86ED,0,Female,40,Sales,Some Travel,Divorced,3,104426,1,No,10,3,4,6,Native Hawaiian ,High School ,4.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,Satisfied ,Dissatisfied,Dissatisfied,Neutral,Needs Improvement,Meets Expectation,0.9999966666777778
3C7D-86ED,0,Female,40,Sales,Some Travel,Divorced,3,104426,1,No,10,3,4,6,Native Hawaiian ,High School ,3.0,3.0,3.0,3.0,1.0,2.0,5.0,4.0,Neutral,Neutral,Neutral,Neutral,Exceeds Expectation ,Above and Beyond,1.9999800001999977
3C7D-86ED,0,Female,40,Sales,Some Travel,Divorced,3,104426,1,No,10,3,4,6,Native Hawaiian ,High School ,5.0,2.0,5.0,4.0,2.0,3.0,5.0,5.0,Very Satisfied,Dissatisfied,Very Satisfied,Satisfied ,Above and Beyond,Above and Beyond,1.4999925000374998
3C7D-86ED,0,Female,40,Sales,Some Travel,Divorced,3,104426,1,No,10,3,4,6,Native Hawaiian ,High School ,4.0,5.0,3.0,5.0,2.0,0.0,4.0,4.0,Satisfied ,Very Satisfied,Neutral,Very Satisfied,Exceeds Expectation ,Exceeds Expectation ,0.0
3C7D-86ED,0,Female,40,Sales,Some Travel,Divorced,3,104426,1,No,10,3,4,6,Native Hawaiian ,High School ,5.0,2.0,2.0,4.0,3.0,2.0,4.0,4.0,Very Satisfied,Dissatisfied,Dissatisfied,Satisfied ,Exceeds Expectation ,Exceeds Expectation ,0.6666644444518518
3D71-8DC2,0,Male,38,Sales,Some Travel,Married,20,147098,1,No,10,5,8,2,Black or African American,Masters ,4.0,2.0,3.0,4.0,2.0,0.0,5.0,5.0,Satisfied ,Dissatisfied,Neutral,Satisfied ,Above and Beyond,Above and Beyond,0.0
3D71-8DC2,0,Male,38,Sales,Some Travel,Married,20,147098,1,No,10,5,8,2,Black or African American,Masters ,3.0,2.0,3.0,5.0,3.0,1.0,3.0,2.0,Neutral,Dissatisfied,Neutral,Very Satisfied,Needs Improvement,Meets Expectation,0.3333322222259259
3D71-8DC2,0,Male,38,Sales,Some Travel,Married,20,147098,1,No,10,5,8,2,Black or African American,Masters ,5.0,2.0,3.0,5.0,2.0,0.0,4.0,4.0,Very Satisfied,Dissatisfied,Neutral,Very Satisfied,Exceeds Expectation ,Exceeds Expectation ,0.0
3D71-8DC2,0,Male,38,Sales,Some Travel,Married,20,147098,1,No,10,5,8,2,Black or African American,Masters ,5.0,4.0,2.0,3.0,3.0,1.0,4.0,4.0,Very Satisfied,Satisfied ,Dissatisfied,Neutral,Exceeds Expectation ,Exceeds Expectation ,0.3333322222259259
3D71-8DC2,0,Male,38,Sales,Some Travel,Married,20,147098,1,No,10,5,8,2,Black or African American,Masters ,4.0,5.0,5.0,4.0,1.0,3.0,4.0,3.0,Satisfied ,Very Satisfied,Very Satisfied,Satisfied ,Meets Expectation,Exceeds Expectation ,2.9999700002999967
3D71-8DC2,0,Male,38,Sales,Some Travel,Married,20,147098,1,No,10,5,8,2,Black or African American,Masters ,4.0,5.0,2.0,5.0,1.0,1.0,4.0,3.0,Satisfied ,Very Satisfied,Dissatisfied,Very Satisfied,Meets Expectation,Exceeds Expectation ,0.9999900000999988
3D71-8DC2,0,Male,38,Sales,Some Travel,Married,20,147098,1,No,10,5,8,2,Black or African American,Masters ,3.0,2.0,5.0,2.0,3.0,2.0,4.0,4.0,Neutral,Dissatisfied,Very Satisfied,Dissatisfied,Exceeds Expectation ,Exceeds Expectation ,0.6666644444518518
3D71-8DC2,0,Male,38,Sales,Some Travel,Married,20,147098,1,No,10,5,8,2,Black or African American,Masters ,3.0,3.0,2.0,3.0,3.0,1.0,5.0,5.0,Neutral,Neutral,Dissatisfied,Neutral,Above and Beyond,Above and Beyond,0.3333322222259259
3D71-8DC2,0,Male,38,Sales,Some Travel,Married,20,147098,1,No,10,5,8,2,Black or African American,Masters ,4.0,4.0,4.0,3.0,1.0,1.0,3.0,3.0,Satisfied ,Satisfied ,Satisfied ,Neutral,Meets Expectation,Meets Expectation,0.9999900000999988
5476-CA0D,1,Female,31,Technology,Frequent Traveller,Single,4,69747,0,No,6,5,5,1,Native Hawaiian ,High School ,3.0,4.0,2.0,3.0,2.0,0.0,3.0,2.0,Neutral,Satisfied ,Dissatisfied,Neutral,Needs Improvement,Meets Expectation,0.0
5476-CA0D,1,Female,31,Technology,Frequent Traveller,Single,4,69747,0,No,6,5,5,1,Native Hawaiian ,High School ,3.0,5.0,3.0,5.0,2.0,1.0,3.0,2.0,Neutral,Very Satisfied,Neutral,Very Satisfied,Needs Improvement,Meets Expectation,0.4999975000124999
5476-CA0D,1,Female,31,Technology,Frequent Traveller,Single,4,69747,0,No,6,5,5,1,Native Hawaiian ,High School ,4.0,3.0,5.0,5.0,2.0,0.0,4.0,3.0,Satisfied ,Neutral,Very Satisfied,Very Satisfied,Meets Expectation,Exceeds Expectation ,0.0
5476-CA0D,1,Female,31,Technology,Frequent Traveller,Single,4,69747,0,No,6,5,5,1,Native Hawaiian ,High School ,3.0,5.0,4.0,5.0,2.0,2.0,3.0,2.0,Neutral,Very Satisfied,Satisfied ,Very Satisfied,Needs Improvement,Meets Expectation,0.999995000025
5476-CA0D,1,Female,31,Technology,Frequent Traveller,Single,4,69747,0,No,6,5,5,1,Native Hawaiian ,High School ,2.0,4.0,3.0,1.0,3.0,1.0,3.0,2.0,Dissatisfied,Satisfied ,Neutral,Very Dissatisfied,Needs Improvement,Meets Expectation,0.3333322222259259
5476-CA0D,1,Female,31,Technology,Frequent Traveller,Single,4,69747,0,No,6,5,5,1,Native Hawaiian ,High School ,5.0,3.0,5.0,3.0,3.0,2.0,5.0,5.0,Very Satisfied,Neutral,Very Satisfied,Neutral,Above and Beyond,Above and Beyond,0.6666644444518518
5476-CA0D,1,Female,31,Technology,Frequent Traveller,Single,4,69747,0,No,6,5,5,1,Native Hawaiian ,High School ,5.0,2.0,2.0,2.0,1.0,3.0,3.0,2.0,Very Satisfied,Dissatisfied,Dissatisfied,Dissatisfied,Needs Improvement,Meets Expectation,2.9999700002999967
5476-CA0D,1,Female,31,Technology,Frequent Traveller,Single,4,69747,0,No,6,5,5,1,Native Hawaiian ,High School ,4.0,4.0,2.0,5.0,2.0,1.0,5.0,4.0,Satisfied ,Satisfied ,Dissatisfied,Very Satisfied,Exceeds Expectation ,Above and Beyond,0.4999975000124999
5476-CA0D,1,Female,31,Technology,Frequent Traveller,Single,4,69747,0,No,6,5,5,1,Native Hawaiian ,High School ,5.0,4.0,3.0,5.0,1.0,2.0,3.0,3.0,Very Satisfied,Satisfied ,Neutral,Very Satisfied,Meets Expectation,Meets Expectation,1.9999800001999977
5476-CA0D,1,Female,31,Technology,Frequent Traveller,Single,4,69747,0,No,6,5,5,1,Native Hawaiian ,High School ,3.0,4.0,4.0,2.0,2.0,1.0,5.0,4.0,Neutral,Satisfied ,Satisfied ,Dissatisfied,Exceeds Expectation ,Above and Beyond,0.4999975000124999
73CF-4956,0,Female,32,Technology,Some Travel,Single,42,102022,0,No,10,4,5,8,White,Masters ,3.0,4.0,4.0,2.0,2.0,1.0,3.0,3.0,Neutral,Satisfied ,Satisfied ,Dissatisfied,Meets Expectation,Meets Expectation,0.4999975000124999
73CF-4956,0,Female,32,Technology,Some Travel,Single,42,102022,0,No,10,4,5,8,White,Masters ,4.0,5.0,4.0,2.0,3.0,1.0,5.0,5.0,Satisfied ,Very Satisfied,Satisfied ,Dissatisfied,Above and Beyond,Above and Beyond,0.3333322222259259
